Intercept__0,beta_size__0,frac_items_seen_sd
62.69997337958828,-95.61383799839325,13.8408159418028
58.7321007653829,-103.45761284190489,13.819420401934279
63.18516402756312,-110.0906464487737,13.486785289104786
62.17164076990346,-162.1646687171229,13.272044182155524
60.40444363772922,-167.10309435104045,12.06057705624632
64.17998903619774,-166.7520417075636,12.435511141081866
62.8945120865946,-149.26357052230466,12.551305273444399
61.121648378003336,-102.7562943599681,13.131272774143769
60.10815795839859,-118.35084308673544,12.279264287520656
61.847647061731486,-130.22954451839954,12.288681358517385
64.64430236437146,-131.10988495199226,12.723305073165985
62.610337873719075,-139.90014213623311,12.437605453969713
61.126995006854926,-141.32884256291536,12.70742044888284
63.64745325876191,-144.62268913358085,13.113643277540852
63.00694545884553,-200.12965201808652,13.375352186022582
65.46631204251456,-206.56467590792525,12.733399939272202
60.00083199814603,-201.68637822448906,12.103539510294306
64.69658623906463,-190.59790262203708,12.910057342247944
64.69658623906463,-190.59790262203708,12.910057342247944
59.69310345857198,-96.5175029089105,13.652219461573546
58.490555456424744,-96.97356943040376,13.318609034895768
62.26412146046756,-91.96516068302618,11.59881215336121
62.106705070923525,-92.64342184707321,12.225367905681704
60.47819896375153,-124.27192836432842,11.120620704223294
61.06020088882997,-89.69092540920525,13.704934333284948
60.13207686565029,-48.97176520959038,12.731413831244932
60.43711738946353,-52.91504435292234,12.878067531567554
62.03715336408283,-50.402474353196894,13.39459038379977
57.381946621011366,-57.186995038951466,12.737008412842762
58.687315005254725,-77.10338839634365,13.229605154588324
58.609575314067186,-87.56966144844569,12.130781017414032
58.609575314067186,-87.56966144844569,12.130781017414032
59.7699647062012,-123.11368727322747,12.75651685750048
60.43350076904652,-57.74611143476227,11.529204299605407
60.43350076904652,-57.74611143476227,11.529204299605407
61.07430176924866,-118.40725165541598,12.188880891738119
61.07430176924866,-118.40725165541598,12.188880891738119
64.54619599632471,-115.5082894702233,13.004002071627427
63.45975858072097,-131.32838075408998,12.933930652187923
63.11895301727585,-114.27755458330769,13.443554293325862
59.79246144719313,-103.43434955378795,11.673422000796283
60.8652196730709,-101.1222108792596,13.316970986793512
61.31297716271485,-76.60494260389197,13.693736609453929
60.318573040906614,-92.74058248198578,13.74061196442358
60.679348994186846,-91.3932358583961,13.722753233950444
58.67198303269978,-109.86203546150563,12.54830798681957
61.355361389155036,-112.66270020740286,10.184034458016152
58.54862613916012,-109.61691481341788,12.337886155534704
63.13963979706192,-139.29333544575908,12.379120119479747
63.13963979706192,-139.29333544575908,12.379120119479747
63.24307079237605,-132.13250635441045,11.808008025835994
58.929353946001385,-89.18944071494172,12.669185359721777
60.93406678653655,-112.65568455735186,12.476418630469627
60.93406678653655,-112.65568455735186,12.476418630469627
60.93406678653655,-112.65568455735186,12.476418630469627
60.56328648887504,-119.87444290838644,11.924127300003853
60.957669593951366,-114.63446101070569,13.206717552495151
57.258838175969586,-108.87596074619353,12.806577209405773
