Intercept__0,beta_size__0,p_choose_last_seen_sd
52.33274858908351,-216.3955836348469,20.520151358354216
54.06572121419285,-264.29887255205824,20.78821809760249
46.51517554673219,-265.42185832840414,20.59351505722407
48.460128994036765,-266.50656292327847,21.106531580691293
54.880752510001116,-270.42981636952464,22.287526721664076
47.263038481115274,-255.62005462733248,22.893207145385055
57.32095428364547,-255.45211415855283,23.028535584468727
54.380673833060264,-256.579739411931,22.971285665340453
42.673898177193315,-218.66857184146264,18.857814329126676
42.673898177193315,-218.66857184146264,18.857814329126676
47.12756985352686,-215.8330751842035,18.625026581863132
45.36338208727068,-218.20836461385093,22.058806896757634
44.0215051490906,-216.97688965289882,22.637851912611048
46.8630311197111,-224.55078345199553,22.453351358199672
47.658977718296256,-264.84225216097894,21.503826087367553
48.96451327343166,-184.84642951765093,21.855082208318276
50.98732606120686,-182.57876927116706,20.14550593374057
52.4695594199121,-209.8188381344944,19.807971680920662
43.06233246106324,-116.84530829993855,21.013169702716386
41.71678770610205,-116.60472489308253,20.569563094849627
46.29197024170832,-117.432780102125,21.099825441449674
44.20528469923365,-89.06729882807333,19.309120099553336
48.643304009347716,-97.73071343010183,22.85460917791031
46.186555081366194,-62.08704552000458,18.019255728361728
44.15804199228141,-52.45686598958511,22.429185734651288
45.51977601650827,-54.27088163580178,22.57973853184053
49.19673264029864,-56.271963226973284,20.425226137528593
49.7952795299437,-56.63824983948616,20.488725611643535
42.44730355381838,-72.00905285546473,21.015339386004324
42.44730355381838,-72.00905285546473,21.015339386004324
42.44730355381838,-72.00905285546473,21.015339386004324
42.19458588002597,-70.26431802917753,20.20363021563032
50.79482782477828,-241.6990238960518,19.477892525400296
53.948272767341265,-241.98985161549712,21.484379478319624
42.88473346237476,-158.57511392796826,18.801995283818847
51.84421705272537,-159.70375948416634,18.032083028459557
46.425379402413675,-136.4241034888874,22.557059973875184
43.17383087895003,-143.2066612420514,21.985102256276374
52.23396003090709,-146.09098955328315,21.001708361867095
47.82286760730675,-149.89997193181097,22.770907760787043
47.35273302535214,-145.66594759717972,21.89747181963556
47.58237962948366,-158.74088039634125,21.74205005356699
48.33516836672207,-159.6614559879097,21.7457451136535
46.65349887072256,-157.80173047953366,19.411797934367744
46.65349887072256,-157.80173047953366,19.411797934367744
46.65349887072256,-157.80173047953366,19.411797934367744
52.16055228791907,-163.3470075987358,22.29424908564763
