p_error,v,alpha,tau,gamma,zeta
0.05,9.68223458610248e-09,2.8618082951468434e-05,2.1402953456959968,1.0,0.0
0.05,6.628637365979801e-09,2.8618082951468434e-05,2.1402953456959968,1.0,0.0
0.05,8.896959473434354e-09,2.061551840887074e-05,2.42002644676862,1.0,0.0
0.05,8.896959473434354e-09,2.3650269992381454e-05,2.42002644676862,1.0,0.0
0.05,4.916431429927271e-09,2.547256270926361e-05,2.42002644676862,1.0,0.0
0.05,4.916431429927271e-09,2.547256270926361e-05,2.42002644676862,1.0,0.0
0.05,4.916431429927271e-09,2.0251720003672714e-05,2.42002644676862,1.0,0.0
0.05,3.569065661413015e-09,2.360691009525205e-05,2.445323543822468,1.0,0.0
0.05,9.438374169328331e-10,2.2537080628679292e-05,2.445323543822468,1.0,0.0
0.05,4.274790918091935e-10,3.4487284597796004e-05,2.3607008228007182,1.0,0.0
0.05,4.274790918091935e-10,3.4487284597796004e-05,2.3607008228007182,1.0,0.0
0.05,2.338228201240344e-10,3.4487284597796004e-05,2.3607008228007182,1.0,0.0
0.05,2.338228201240344e-10,3.4487284597796004e-05,2.2665557135287835,1.0,0.0
0.05,8.52116926844714e-10,3.4487284597796004e-05,2.1840296923311624,1.0,0.0
0.05,1.5230939392441444e-09,3.4487284597796004e-05,2.7672377014668834,1.0,0.0
0.05,1.5230939392441444e-09,3.4487284597796004e-05,2.7672377014668834,1.0,0.0
0.05,1.5230939392441444e-09,3.4487284597796004e-05,2.206414638122642,1.0,0.0
0.05,1.5230939392441444e-09,3.4487284597796004e-05,2.206414638122642,1.0,0.0
0.05,2.633793867571645e-09,3.4487284597796004e-05,2.206414638122642,1.0,0.0
0.05,1.3089823209921045e-09,2.581329330157523e-05,2.206414638122642,1.0,0.0
0.05,8.365963869666317e-10,2.581329330157523e-05,2.206414638122642,1.0,0.0
0.05,2.376192718940095e-09,2.581329330157523e-05,2.206414638122642,1.0,0.0
0.05,5.18874156490274e-09,2.581329330157523e-05,2.0544739394262,1.0,0.0
0.05,5.18874156490274e-09,2.581329330157523e-05,2.0544739394262,1.0,0.0
0.05,5.18874156490274e-09,2.581329330157523e-05,2.0544739394262,1.0,0.0
0.05,5.18874156490274e-09,2.581329330157523e-05,2.0544739394262,1.0,0.0
0.05,5.18874156490274e-09,2.581329330157523e-05,2.0544739394262,1.0,0.0
0.05,5.18874156490274e-09,2.4759292988746797e-05,2.7212650831995977,1.0,0.0
0.05,1.580723942210054e-08,2.4759292988746797e-05,2.478749996380925,1.0,0.0
0.05,1.580723942210054e-08,1.487896364640148e-05,2.478749996380925,1.0,0.0
0.05,1.580723942210054e-08,1.4950723208004606e-05,2.478749996380925,1.0,0.0
0.05,1.5300244812704968e-08,1.4950723208004606e-05,2.478749996380925,1.0,0.0
0.05,1.4167282092332325e-08,2.54743547248814e-05,2.478749996380925,1.0,0.0
0.05,1.4167282092332325e-08,2.54743547248814e-05,2.478749996380925,1.0,0.0
0.05,1.4167282092332325e-08,2.310224851844929e-05,2.478749996380925,1.0,0.0
0.05,2.9206970833517986e-08,2.310224851844929e-05,2.478749996380925,1.0,0.0
0.05,1.265717314347408e-08,1.2125880586262684e-05,2.478749996380925,1.0,0.0
0.05,1.265717314347408e-08,1.1152425907947285e-05,2.478749996380925,1.0,0.0
0.05,1.265717314347408e-08,1.1152425907947285e-05,2.478749996380925,1.0,0.0
0.05,1.3984094824533987e-08,1.1152425907947285e-05,2.7401505704879265,1.0,0.0
0.05,2.0044547354015226e-08,1.1152425907947285e-05,3.0049286711629875,1.0,0.0
0.05,2.0044547354015226e-08,1.1446261030925806e-05,2.0206348913384438,1.0,0.0
0.05,2.0044547354015226e-08,1.2734706023728493e-05,2.0206348913384438,1.0,0.0
0.05,2.0044547354015226e-08,1.2734706023728493e-05,1.912228379287036,1.0,0.0
0.05,1.4944129384746852e-08,1.1177720409521717e-05,1.912228379287036,1.0,0.0
0.05,2.6502619380337083e-08,2.262225242382211e-05,1.912228379287036,1.0,0.0
0.05,2.6502619380337083e-08,1.781354697162961e-05,1.912228379287036,1.0,0.0
0.05,6.452976460937181e-09,1.781354697162961e-05,1.9778602241668537,1.0,0.0
0.05,6.452976460937181e-09,1.781354697162961e-05,1.9778602241668537,1.0,0.0
