Intercept__0,beta_size__0,p_choose_last_seen_sd
49.54380231420389,-189.9428970322622,18.18573775342891
48.47623342181652,-190.10180897440884,18.935565540093005
48.553178518702765,-214.2479340164323,22.0564859897699
48.53142625340403,-215.64334082272006,20.749180413676658
49.53465641357046,-216.67123406094126,22.10199908777736
49.318548211541476,-229.20646558614396,19.311524873486597
50.960917726817456,-199.6321634517567,22.217456465090052
45.79053203873759,-201.33517715847452,20.86050302769402
46.956306644483455,-305.9766966833456,20.541459991497348
50.02691377771252,-183.01472134800818,20.021283023320613
38.76967107962725,-207.49890468286867,22.428447622661736
41.60841067545681,-206.21295201145057,20.493859958724215
42.95216231107368,-208.14083942698161,19.563068878273143
50.69996332402682,-171.93538025449547,21.484539851958097
45.113311181978055,-150.72065340867331,19.148278544642476
49.85337881330267,-155.1923359936123,21.6699918467076
43.8829610088082,-165.36290386624907,22.163251553032318
44.78171885888069,-165.09133482829668,21.921939809645675
51.61354060068746,-236.28261616290166,21.630447962228775
48.79779127816588,-234.98068247500848,20.04007301828861
48.79779127816588,-234.98068247500848,20.04007301828861
48.79779127816588,-234.98068247500848,20.04007301828861
54.92331216950262,-236.66101403216086,21.66257979760366
41.54355614986554,-206.82576689426736,22.702729716325088
54.064265070456706,-200.9864397396184,20.03300504261301
48.77882849353081,-206.87665632680125,21.630336719725086
47.49796551536057,-210.25683108041062,22.798812108115435
52.272534200830314,-212.9627479204348,21.93542743285192
45.74347219688234,-219.3152255209401,19.366567109847498
45.91150652386204,-221.56728850424787,22.056040079915828
46.399110150044834,-241.69127837720248,21.15176702933042
50.46073878052408,-230.638729767383,20.458957003314055
50.76490375394303,-268.87128619266895,20.451958038247565
46.89596071529622,-265.59854897853137,21.955243010835417
50.296343275410194,-275.2665857348487,19.24317684281399
48.093135852588844,-239.5211376543784,21.50027710649015
49.162123023862435,-198.99454523788367,19.840373398965465
49.162123023862435,-198.99454523788367,19.840373398965465
49.162123023862435,-198.99454523788367,19.840373398965465
49.162123023862435,-198.99454523788367,19.840373398965465
51.08304646419212,-201.9034393944652,22.059193366390648
51.3789122909836,-279.93878104658296,19.471936726931215
51.49786277219445,-297.27351341348776,21.411262290336992
49.1670622453688,-307.1513277131152,19.16720665869444
47.84716110302634,-242.36651341488246,22.097590983774786
47.112882977411665,-197.7235952649111,20.01843933711516
45.67070291671861,-185.07493698551374,19.748190228823816
46.46930205112039,-170.6088744837719,20.89895667193656
46.46930205112039,-170.6088744837719,20.89895667193656
46.95832338422971,-288.3531870307559,20.88900681192256
44.3134260503823,-287.00179979890873,18.384511071834762
50.37077963126576,-289.9325868991038,18.704319100630986
49.728665965072956,-295.9000661459476,22.21233389045086
44.95261348394855,-288.76935493766416,17.87798452644206
48.22534864903807,-288.8463723296752,21.043656484453418
52.235730606619015,-253.9003191547163,19.510660600637006
53.27780047518426,-191.88953879029287,21.89903889212131
42.561080995512036,-188.67000981866755,22.11492725770916
49.73079327277722,-182.8599811234029,22.395667184469527
43.081350805097,-194.7620186562789,20.051689418183123
44.85668466801843,-137.52415997382536,22.32534798534673
52.16447955775288,-321.62322397231543,22.494914323775124
50.673913651544744,-319.9960682452732,22.157346275140544
50.46875103236719,-319.4686767042995,22.588705355458963
49.155515751936306,-300.76640838440744,20.44710239964714
49.155515751936306,-300.76640838440744,20.44710239964714
47.901491487052475,-264.7463704586836,19.181765819828204
50.032890125638694,-254.53561029285063,22.891197279627683
