Intercept__0,beta_size__0,RT_sd
5.91559737434948,-27.203028693524992,1.8228203992966185
5.608328205143736,-16.148425559990415,1.8178103961465457
5.767361712886377,-19.895934649226295,1.7545334201443266
5.341635264819346,-19.416023064189307,1.9724323903030943
5.278013461189828,-19.821292459726337,1.9242277951176776
5.382216094143255,-16.190922262488034,1.9230437793841701
5.751629439895865,-17.55715278280304,1.91406888787312
5.276885968751465,-12.572011170278998,1.9359736857752774
5.8524086598482015,-14.256261908715478,1.8152442802299558
5.537463478944845,-22.277553814696592,1.8041055765426564
5.387344789492584,-13.574323526152702,1.831298197822099
6.009997489235766,-29.92437460751976,1.7317547201357992
5.84377496279107,-37.04679496225266,1.9753477559797634
6.005908768097625,-38.22210463338685,1.9790264806937006
6.138070822110403,-42.02064803193038,2.0020076356827197
5.618930409806531,-34.93666519262481,1.988056336329124
5.937861719878819,-31.995931773342615,1.9953649022971907
5.787542213522098,-28.439881535073674,1.9982643788277858
5.9828270301117294,-26.988337725042957,1.974951155189147
6.282546414303527,-28.76452988378029,1.9607697570949933
5.838089885269467,-40.89619150238271,1.906726500921297
5.892748482827238,-35.159993902535064,1.8194684069603597
5.892748482827238,-35.159993902535064,1.8194684069603597
5.8035212446775155,-23.963854871607154,1.8331463309611016
5.651679346071169,-23.965353707008543,1.8198045438676533
5.614048363417895,-12.473318114260804,1.7934567032940085
5.614048363417895,-12.473318114260804,1.7934567032940085
5.738210747931704,-12.96877794562335,1.8972906976428505
5.531189313269825,-23.18097709236159,1.8539581234972486
5.668364091977386,-22.762312929812808,1.7497845736669602
5.8221622084530384,-20.773042134989858,1.81981540453616
5.8221622084530384,-20.773042134989858,1.81981540453616
5.837206462730451,-19.515790603763307,1.8575362861190505
5.404528260712866,-12.595218158885935,1.8194798598624238
5.736707480592485,-13.372966342798197,1.732400470080965
5.7774167099339,-15.232384199654131,1.7174899367856205
5.578735974826056,-19.223501393887187,1.8352264775700322
5.807597383060901,-32.437954123525536,1.768207829584783
5.938270230500479,-29.932031774494966,1.9564214902848125
5.442666003295386,-15.419633869146606,1.861220128108316
5.448914088688352,-12.566398420226626,1.6128122033194416
5.647786474579277,-17.34775916558015,1.901054495420685
5.741435442025935,-20.71561195821665,1.6220652397611381
5.336142354664982,-10.41883886849623,1.9165948104555672
5.441026551580372,-11.927111300817975,1.6283671115461484
5.441026551580372,-11.927111300817975,1.6283671115461484
5.1855678912738385,-14.964526043570707,1.770407423857373
5.606208550097955,-16.848476199677098,1.8879303948114412
6.07162394855501,-12.075760407594396,1.891076780831678
5.155822244086939,-17.044310847830666,1.9196093562933507
