Intercept__0,obs_rt__0,pred_rt_sd
434.75522871192254,0.9926458314055344,3794.982472893832
436.76460800522665,0.9690387459421881,3247.6443736677334
438.5248811855547,1.0013464177300828,3724.461625037945
423.26743535445786,0.916729684080677,3871.6940165867936
423.86806315441356,0.920015648994818,3863.100230940925
627.2488865341137,0.970729051467539,3786.2818674556693
627.093478670537,0.8852422997003123,3939.1407304355807
627.9920748200699,1.0262825435277263,3888.193947540004
628.5107669383376,1.072940230153148,3929.2691911988454
628.4495228273014,0.9451390070264654,3954.165784791776
207.02537467349487,1.0008540904714125,3863.8395295767446
51.06761824060719,1.0125020618315461,3735.5607347432724
949.8550192251957,0.8603774953600407,3982.162575922726
597.8484965070305,1.0102900507788815,3920.205662998043
582.091818390191,0.9616162684325242,3848.307634163127
583.3565333952828,0.9726739856446611,4048.997080989339
