Intercept__0,beta_size__0,frac_items_seen_sd
60.26231712734771,-156.9028925184945,13.268449559178299
65.15254400118259,-161.42408422035285,13.241299222292863
61.00088041859776,-167.03182922788045,12.59845350542797
62.70011484426754,-164.9516666734666,11.888472559829246
65.60200884262312,-155.3818878576232,13.433600719978163
66.19009635444945,-105.5276128232636,13.642868389662762
63.7446007879309,-105.8666714378985,13.485634433805902
59.362387362391345,-103.27827440501699,11.59992750179874
61.81153339580786,-100.80861648574889,12.489984849232995
60.99470362724469,-120.94784077703045,13.332192661984347
61.75084418312261,-122.97002570211646,10.839784542830925
62.89443800808916,-125.3886295054385,11.709435191874359
61.42034188663168,-138.82319078479702,13.138566016121684
60.23391885117172,-140.83252122151836,12.363253394486385
59.4219863214148,-97.53553190014783,12.437614379985817
61.78243601030321,-97.54896928451952,12.474124332642456
63.32029928799801,-124.33988716481643,12.954439726571053
59.032727258318445,-84.15524053558094,12.665548141741453
62.14560313394563,-103.66026575461302,12.238445257925239
60.47843112541232,-106.0447671938761,13.227229496831626
59.54015642830007,-147.26457689352156,12.525082261156749
63.16473680851412,-148.48443975913864,12.823207373187431
63.47414927798761,-154.22968649018276,12.092262953260638
61.56337211660995,-163.6425353129657,13.513255436877513
60.61223063454976,-164.06152887560566,13.631252400177665
63.06106133813488,-165.60745603134794,12.729934755257831
61.869939045913284,-183.8436334090799,11.897838699915487
63.19039838371081,-186.24175060695592,13.30099457223666
62.907180282985244,-187.63373495798797,13.65101923239991
61.901854392956345,-156.19384347324498,12.945894705402026
64.02632337652086,-171.96721945567074,13.012958510324683
61.8789215661822,-176.18046415675988,13.774842676526088
61.99272985743814,-163.89328581692928,13.790243557295923
61.485224498547915,-164.73165617463556,13.74121754827783
63.967388692236995,-169.28183786877702,13.756596234472685
61.89953145530957,-165.99453662452916,13.754862609132248
62.942726105829315,-167.03431752549636,13.630093923764255
57.66872484641627,-136.45600880532362,13.105278908230547
57.66872484641627,-136.45600880532362,13.105278908230547
62.98284959202158,-152.7878948742639,12.431579554239674
61.53961555586074,-185.45557931870684,12.913881846103424
65.13827558223599,-165.84482003543334,13.02121051906615
63.46317517512834,-166.7960466551764,13.133825825676725
62.525085511839706,-171.23112906466727,12.581584987770045
61.11728451292714,-83.47161666505185,12.375248009694333
60.33724526801805,-85.41953558423423,12.914102096822166
62.79248994923236,-107.68278772770736,12.637861952821204
58.40336844093229,-102.66243238295378,13.48984865052683
62.557070926789876,-109.84768549878875,11.352873665739471
62.649450969168434,-104.99573984294165,13.256078666431758
64.3480969083087,-145.86815579651378,12.391804466200837
59.56158947543175,-149.24274515612376,13.131865671755572
65.10786883194446,-190.46878644540934,13.165076255357228
60.62188333777545,-189.0453834348965,11.893657258974393
64.51475747674112,-194.05556343264644,12.854246011515908
60.586273838293685,-190.97043875840777,12.19809499359131
64.24049160260036,-175.97161981807827,13.186653218459016
61.84860238665482,-174.51020171698707,11.354274423595268
62.754960978534825,-180.82708648508466,10.90633815945857
60.03046695706099,-188.26352759332082,13.619660540058105
66.8176025623277,-199.61320983968312,13.809199738095826
58.82465041532417,-185.80227508393375,13.778523730393553
59.08535335769165,-184.0293644993221,13.78454667888386
66.34089522247889,-213.84684871233105,11.19477110217226
63.367720429483334,-220.1005407759837,12.086571349467418
63.367720429483334,-220.1005407759837,12.086571349467418
63.53897477960934,-212.92227764790417,12.996924300426933
60.27544583981535,-171.3182707739903,12.000012645016769
63.02717159791943,-89.4308435486906,11.271888791838224
61.57606022468956,-76.8222363084488,13.807024625348552
59.57195695827599,-81.24816716981738,13.825012900837047
59.96015777076922,-79.74879204686852,13.720530110798874
61.242969101591925,-72.17129714727875,13.593631013560296
60.03812608139202,-68.44274970226189,13.419220453153377
61.99276752317099,-63.23250754739514,10.451478810920701
58.32736087862852,-70.53353610389382,13.60292226041584
61.415238466978764,-74.26538901569981,12.37235527051667
63.76505194245169,-190.5404539276546,12.515065702420259
63.76505194245169,-190.5404539276546,12.515065702420259
60.74341125981918,-133.94735461931455,12.950691710369455
61.65553398901448,-155.28908376252707,11.525614616730882
60.017618184847514,-147.57415428195216,13.368667115815567
62.597828238073994,-140.11363495255424,13.413829378884948
59.60332287628558,-131.05123824632525,13.647723671714916
61.32503488610474,-141.03653618693977,10.148452057481117
61.09689500248882,-171.77859006434394,13.79272196440024
59.94406910744241,-174.68420744093592,13.871296711727648
64.08433438214298,-170.69714599615097,13.863477924834704
61.69762346784323,-176.67479772198422,13.414826916004449
62.038887116800446,-178.34831299061375,13.088927584186656
58.901644820099804,-177.50958601263096,11.407087241871116
65.41704005466062,-180.6217532562521,13.475912948902304
63.70918680558805,-180.04746788863994,13.79771517802486
64.47171871602768,-191.17738333671142,13.791606581553426
60.359692480487084,-189.78762254472605,12.724794207429914
63.876114404443236,-149.5259412298322,13.085803639478124
60.083578849456366,-138.63060583308882,13.052106516135462
64.53025216416691,-139.73931824469312,11.922457015486948
61.88837902997543,-133.69787928903972,13.079478666872312
62.46398366264777,-173.1232387987281,13.386222115902685
61.634335612562936,-171.6089727630772,13.517588559142308
64.27264548575688,-174.70949418609686,13.684107082600933
