b,p_error,v,s,gamma,zeta
1.0,0.05,1.6812307095245667e-05,0.0044579495439534544,0.13608505731497958,9.845681540869911
1.0,0.05,1.6812307095245667e-05,0.004254228055858015,0.13608505731497958,9.845681540869911
1.0,0.05,1.0792051187740466e-05,0.004254228055858015,0.17495859990347834,9.845681540869911
1.0,0.05,1.2539151705053564e-05,0.004460724754108917,0.17495859990347834,9.845681540869911
1.0,0.05,1.2539151705053564e-05,0.004537664424509097,0.17613353362401654,9.485533778063704
1.0,0.05,1.2539151705053564e-05,0.004537664424509097,0.14233915982266193,9.578797975952405
1.0,0.05,1.4190520257848319e-05,0.004560937261177629,0.14233915982266193,9.12785465391196
1.0,0.05,1.4190520257848319e-05,0.00491244443900629,0.1589250159506989,9.12785465391196
1.0,0.05,1.2386333036211557e-05,0.00491244443900629,0.22626611638416566,9.12785465391196
1.0,0.05,1.2386333036211557e-05,0.0047384286299003014,0.2605626039078987,6.623540793486487
1.0,0.05,1.2386333036211557e-05,0.0047384286299003014,0.3016214170755122,6.623540793486487
1.0,0.05,1.2386333036211557e-05,0.0047384286299003014,0.3936926370198566,6.623540793486487
1.0,0.05,1.098288933755233e-05,0.0047384286299003014,0.3510315192482456,6.623540793486487
1.0,0.05,1.059325142355862e-05,0.0047384286299003014,0.33600789629655375,6.623540793486487
1.0,0.05,1.059325142355862e-05,0.0047384286299003014,0.33600789629655375,6.973573382035783
1.0,0.05,1.059325142355862e-05,0.0047384286299003014,0.33600789629655375,8.239384810780907
1.0,0.05,1.059325142355862e-05,0.0047384286299003014,0.313352857569471,5.810924060676341
1.0,0.05,1.3618792996326549e-05,0.0047384286299003014,0.313352857569471,5.810924060676341
1.0,0.05,1.3618792996326549e-05,0.0047384286299003014,0.15326703460157295,5.810924060676341
1.0,0.05,1.3618792996326549e-05,0.0047384286299003014,0.15326703460157295,5.810924060676341
1.0,0.05,1.3618792996326549e-05,0.0047384286299003014,0.15326703460157295,5.810924060676341
1.0,0.05,1.3618792996326549e-05,0.0047384286299003014,0.15326703460157295,5.32226633623535
1.0,0.05,1.5517135936766317e-05,0.0047384286299003014,0.2609539352898515,5.32226633623535
1.0,0.05,1.5517135936766317e-05,0.004430032681145502,0.2609539352898515,5.32226633623535
1.0,0.05,1.5517135936766317e-05,0.0041358587279141795,0.2609539352898515,5.32226633623535
1.0,0.05,1.4637506352491636e-05,0.0041358587279141795,0.2609539352898515,5.32226633623535
1.0,0.05,1.5338499189989442e-05,0.0041358587279141795,0.2609539352898515,7.594784670263296
1.0,0.05,1.207435170532013e-05,0.0041358587279141795,0.3822753304871229,7.594784670263296
1.0,0.05,1.207435170532013e-05,0.0041358587279141795,0.38229710601583955,7.594784670263296
1.0,0.05,1.1352771026435834e-05,0.0041358587279141795,0.38229710601583955,7.594784670263296
1.0,0.05,1.1352771026435834e-05,0.0041358587279141795,0.38229710601583955,8.801973439566451
1.0,0.05,1.1352771026435834e-05,0.004282398209243504,0.34318234986583357,8.801973439566451
1.0,0.05,1.1352771026435834e-05,0.004282398209243504,0.3456731593876904,8.801973439566451
1.0,0.05,1.1352771026435834e-05,0.004282398209243504,0.3777338579636935,8.860716401067176
1.0,0.05,1.1352771026435834e-05,0.004282398209243504,0.3777338579636935,8.860716401067176
1.0,0.05,1.1414003650968685e-05,0.004221222400575081,0.3777338579636935,8.860716401067176
1.0,0.05,1.1414003650968685e-05,0.004221222400575081,0.3777338579636935,8.860716401067176
1.0,0.05,1.1660623169995971e-05,0.004221222400575081,0.3777338579636935,6.603376966242978
1.0,0.05,1.1660623169995971e-05,0.004221222400575081,0.3777338579636935,9.873168834646707
1.0,0.05,1.1955731208557333e-05,0.0035951493446951662,0.3777338579636935,9.873168834646707
1.0,0.05,1.1955731208557333e-05,0.0038020592442106257,0.3777338579636935,9.873168834646707
1.0,0.05,1.010388880128813e-05,0.0038020592442106257,0.5157497872272788,9.873168834646707
1.0,0.05,9.053122109526415e-06,0.004897719117857833,0.5157497872272788,9.257517598487595
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.5122941507123024,9.257517598487595
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.5122941507123024,9.257517598487595
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.5122941507123024,9.971082533470403
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.5122941507123024,9.971082533470403
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.5122941507123024,9.971082533470403
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.35622149331492226,9.971082533470403
1.0,0.05,9.053122109526415e-06,0.004749128765293799,0.4453063581985453,9.971082533470403
1.0,0.05,1.008572512353186e-05,0.004423389900825533,0.4453063581985453,9.663402841903988
