subject,setsize,trial,item,dur,onset,stimulus,gaze_num,is_returning,returning_gaze_count,is_last,is_first,item_value,choice,is_last_to_choice
4,25,7,13,190.0,4174.0,nr101.png,15.0,0.0,0.0,0.0,0.0,-2.0,14,0.0
4,25,7,14,250.0,4406.0,nr9.png,16.0,0.0,0.0,0.0,0.0,3.0,14,0.0
4,25,7,19,548.0,4690.0,nr84.png,17.0,0.0,0.0,0.0,0.0,0.0,14,0.0
4,25,7,22,222.0,5312.0,nr52.png,18.0,0.0,0.0,0.0,0.0,1.0,14,0.0
4,25,7,16,160.0,5582.0,nr94.png,19.0,0.0,0.0,0.0,0.0,-2.0,14,0.0
4,25,7,15,272.0,5780.0,nr54.png,20.0,0.0,0.0,0.0,0.0,2.0,14,0.0
4,25,7,4,678.0,6344.0,nr21.png,21.0,1.0,1.0,0.0,0.0,2.0,14,0.0
4,25,7,23,188.0,7506.0,nr95.png,22.0,0.0,0.0,0.0,0.0,0.0,14,0.0
4,25,7,22,164.0,7730.0,nr52.png,23.0,1.0,1.0,0.0,0.0,1.0,14,0.0
4,25,7,21,328.0,7932.0,nr74.png,24.0,0.0,0.0,0.0,0.0,0.0,14,0.0
4,25,7,20,236.0,8306.0,nr19.png,25.0,0.0,0.0,1.0,0.0,-2.0,14,0.0
4,25,8,12,306.0,78.0,nr89.png,1.0,0.0,0.0,0.0,1.0,1.0,14,1.0
4,25,8,0,294.0,442.0,nr42.png,2.0,0.0,0.0,0.0,0.0,3.0,14,1.0
4,25,8,1,232.0,778.0,nr52.png,3.0,0.0,0.0,0.0,0.0,1.0,14,1.0
4,25,8,2,394.0,1052.0,nr79.png,4.0,0.0,0.0,0.0,0.0,1.0,14,1.0
4,25,8,3,322.0,1516.0,nr18.png,5.0,0.0,0.0,0.0,0.0,2.0,14,1.0
4,25,8,4,312.0,1890.0,nr19.png,6.0,0.0,0.0,0.0,0.0,-2.0,14,1.0
4,25,8,9,370.0,2234.0,nr112.png,7.0,0.0,0.0,0.0,0.0,2.0,14,1.0
4,25,8,8,266.0,2666.0,nr100.png,8.0,0.0,0.0,0.0,0.0,0.0,14,1.0
4,25,8,7,328.0,2976.0,nr20.png,9.0,0.0,0.0,0.0,0.0,1.0,14,1.0
4,25,8,5,530.0,3386.0,nr113.png,10.0,0.0,0.0,0.0,0.0,2.0,14,1.0
4,25,8,10,316.0,4014.0,nr85.png,11.0,0.0,0.0,0.0,0.0,0.0,14,1.0
4,25,8,5,496.0,4372.0,nr113.png,12.0,1.0,1.0,0.0,0.0,2.0,14,1.0
4,25,8,12,234.0,5000.0,nr89.png,13.0,1.0,1.0,0.0,0.0,1.0,14,1.0
4,25,8,13,266.0,5282.0,nr83.png,14.0,0.0,0.0,0.0,0.0,2.0,14,1.0
4,25,8,11,308.0,5636.0,nr58.png,15.0,0.0,0.0,0.0,0.0,2.0,14,1.0
4,25,8,14,186.0,6008.0,nr28.png,16.0,0.0,0.0,0.0,0.0,3.0,14,1.0
4,25,8,18,224.0,6244.0,nr98.png,17.0,0.0,0.0,0.0,0.0,-1.0,14,1.0
4,25,8,16,174.0,6522.0,nr30.png,18.0,0.0,0.0,0.0,0.0,1.0,14,1.0
4,25,8,19,274.0,6764.0,nr65.png,19.0,0.0,0.0,0.0,0.0,1.0,14,1.0
